cardname,cardq,cardrarity,cardcondition,card_edition,cardset,cardcode,cardid 
"Jirai Gumo",8,"Common",M,Unlimited,"Metal Raiders",MRD-089,94773007 
"Jowgen the Spiritualist",3,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-061,41855169 
"Jowls of Dark Demise",2,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-009,5257687 
"Judgment of Anubis",1,"Secret Rare",M,Unlimited,"Dark Crisis",DCR-105,55256016 
"Judgment of the Desert",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-103,4869446 
"Judgment of Thunder",5,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN077,85080048 
"Junk Barrage",4,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN047,79068663 
"Justi-Break",4,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN051,62271284 
"Jutte Fighter",3,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN012,60410769 
"KA-2 Des Scissors",4,"Common",M,Unlimited,"Ancient Sanctuary",AST-019,52768103 
"Kabazauls",7,"Common",M,Unlimited,"Pharaonic Guardian",PGD-054,51934376 
"Kagemusha of the Blue Flame",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-028,15401633 
"Kahkki, Guerilla of Dark World",4,"Common",M,Unlimited,"Strike of Neos",STON-EN018,25847467 
"Kaibaman",3,"Secret Rare",M,Unlimited,"Retro Pack 1",RP01-EN095,34627841 
"Kaiser Colosseum",4,"Common",M,Unlimited,"Magician's Force",MFC-031,35059553 
"Kaiser Glider",1,"Ultra Rare",M,Unlimited,"Dark Crisis",DCR-051,52824910 
"Kaminari Attack",5,"Common",M,Unlimited,"Metal Raiders",MRD-041,9653271 
"Kaminote Blow",8,"Common",M,Unlimited,"The Lost Millennium",TLM-EN042,97570038 
"Kangaroo Champ",7,"Common",M,Unlimited,"Flaming Eternity",FET-EN016,95789089 
"Karate Man",3,"Rare",M,Unlimited,"Magic Ruler",MRL-083,23289281 
"Karbonala Warrior",2,"Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-067,54541900 
"Karma Cut",1,"Super Rare",M,Unlimited,"Dark Revelation Volume 4",DR04-EN173,71587526 
"Kazejin",1,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN158,62340868 
"Kelbek",2,"Common",M,Unlimited,"Dark Crisis",DCR-078,54878498 
"Keldo",4,"Common",M,Unlimited,"Dark Crisis",DCR-077,80441106 
"Killer Needle",3,"Common",M,Unlimited,"Metal Raiders",MRD-006,88979991 
"King Dragun",1,"Super Rare",M,Unlimited,"Flaming Eternity",FET-EN036,13756293 
"King Fog",4,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-036,84686841 
"King of the Skull Servants",5,"Common",M,Unlimited,"The Lost Millennium",TLM-EN032,36021814 
"King of the Swamp",1,"Common",M,Unlimited,"Dark Revelation Volume 2",DR2-EN195,79109599 
"King of Yamimakai",3,"Common",M,Unlimited,"Metal Raiders",MRD-074,69455834 
"King Pyron",5,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN026,20438745 
"King Tiger Wanghu",5,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-004,83986578 
"King's Knight",1,"Rare",M,Unlimited,"Dark Revelation Volume 4",DR04-EN066,64788463 
"Kiryu",3,"Common",M,Unlimited,"Magician's Force",MFC-009,84814897 
"Kiseitai",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-046,4266839 
"Kishido Spirit",5,"Common",M,Unlimited,"Magician's Force",MFC-038,60519422 
"Koitsu",8,"Common",M,Unlimited,"Magician's Force",MFC-080,69456283 
"Kojikocy",8,"Common",M,1st Edition,"Metal Raiders",MRD-010,1184620 
"Kotodama",2,"Common",M,Unlimited,"Magic Ruler",MRL-095,19406822 
"Kozaky",1,"Common",M,Unlimited,"Ancient Sanctuary",AST-058,99171160 
"Kozaky's Self-Destruct Button",2,"Rare",M,Unlimited,"The Lost Millennium",TLM-EN052,21908319 
"Krebons",3,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN018,59575539 
"Kryuel",6,"Common",M,1st Edition,"Pharaonic Guardian",PGD-006,82642348 
"Kumootoko",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-082,56283725 
"Kunoichi",1,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN031,56514812 
"Kurama",1,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-039,85705804 
"Kuriboh",6,"Rare",M,Unlimited,"Retro Pack 1",RP01-EN037,40640057 
"La Jinn the Mystical Genie of the Lamp",4,"Common",M,Unlimited,"Dark Legends",DLG1-EN086,97590747 
"Labyrinth of Nightmare",4,"Common",M,Unlimited,"Ancient Sanctuary",AST-108,66526672 
"Labyrinth Tank",2,"Common",M,Unlimited,"Metal Raiders",MRD-091,99551425 
"Labyrinth Wall",4,"Common",M,Unlimited,"Magic Ruler",MRL-055,67284908 
"Lady Assailant of Flames",1,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-035,90147755 
"Lady Ninja Yae",2,"Common",M,Unlimited,"Ancient Sanctuary",AST-030,82005435 
"Lady of Faith",4,"Common",M,Unlimited,"Metal Raiders",MRD-119,17358176 
"Lady Panther",3,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-030,38480590 
"Larvae Moth",1,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN144,87756343 
"Laser Cannon Armor",2,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-089,77007920 
"Last Resort",4,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN047,97970833 
"Launcher Spider",2,"Common",M,Unlimited,"Metal Raiders",MRD-095,87322377 
"Lava Battleguard",4,"Common",M,Unlimited,"Metal Raiders",MRD-115,20394040 
"Lava Golem",1,"Secret Rare",M,Unlimited,"Pharaonic Guardian",PGD-107,102380 
"Layard the Liberator",7,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN021,67468948 
"Left Arm of the Forbidden One",9,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN138,7902349 
"Left Leg of the Forbidden One",6,"Rare",M,Unlimited,"Retro Pack 1",RP01-EN018,44519536 
"Legacy Hunter",1,"Super Rare",M,Unlimited,"Ancient Sanctuary",AST-067,87010442 
"Legendary Black Belt",3,"Rare",M,Unlimited,"The Lost Millennium",TLM-EN045,96458440 
"Legendary Ebon Steed",4,"Common",M,1st Edition,"Strike of Neos",STON-EN040,12324546 
"Legendary Fiend",3,"Rare",M,1st Edition,"Phantom Darkness",PTDN-EN093,99747800 
"Legendary Flame Lord",3,"Rare",M,Unlimited,"Dark Crisis",DCR-081,60258960 
"Legendary Jujitsu Master",1,"Common",M,Unlimited,"Ancient Sanctuary",AST-017,25773409 
"Legendary Sword",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-040,61854111 
"Leghul",6,"Common",M,1st Edition,"Metal Raiders",MRD-031,12472242 
"Leogun",4,"Common",M,Unlimited,"Metal Raiders",MRD-033,10538007 
"Lesser Dragon",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-113,55444629 
"Lesser Fiend",2,"Rare",M,Unlimited,"Legacy of Darkness",LOD-003,16475472 
"Level Conversion Lab",7,"Common",M,Unlimited,"The Lost Millennium",TLM-EN054,84397023 
"Level Down!?",5,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN046,90500169 
"Level Limit - Area A",1,"Rare",M,Unlimited,"Elemental Energy",EEN-EN060,54976796 
"Level Limit - Area B",6,"Common",M,Unlimited,"Ancient Sanctuary",AST-092,3136426 
"Level Modulation",12,"Common",M,Unlimited,"Elemental Energy",EEN-EN039,61850482 
"Level Tuning",3,"Common",M,Unlimited,"Light of Destruction",LODT-EN059,74741494 
"Level Up!",12,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN041,25290459 
"Levia-Dragon - Daedalus",1,"Ultra Rare",M,Unlimited,"Dark Revelation Volume 2",DR2-EN084,37721209 
"Life Equalizer",2,"Rare",M,Unlimited,"Dark Revelation Volume 4",DR04-EN229,17178486 
"Light Barrier",1,"Rare",M,1st Edition,"Light of Destruction",LODT-EN051,73206827 
"Light Effigy",4,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN037,54766667 
"Light of Intervention",4,"Common",M,Unlimited,"Pharaoh's Servant",PSV-031,62867251 
"Light of Judgment",6,"Common",M,1st Edition,"Ancient Sanctuary",AST-048,44595286 
"Light Spiral",6,"Common",M,Unlimited,"Light of Destruction",LODT-EN070,35577420 
"Light-Imprisoning Mirror",2,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN069,53341729 
"Lighten the Load",6,"Common",M,Unlimited,"Rise of Destiny",RDS-EN047,37231841 
"Lightforce Sword",3,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-005,49587034 
"Lightning Blade",4,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-022,55226821 
"Lightning Conger",3,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-060,27671321 
"Lightning Punisher",3,"Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN026,45023678 
"Lightsworn Barrier",4,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN075,22201234 
"Lightwave Tuning",5,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN050,78845026 
"Limit Reverse",5,"Common",M,Unlimited,"Light of Destruction",LODT-EN063,27551 
"Limiter Removal",4,"Super Rare",M,Unlimited,"Pharaoh's Servant",PSV-064,23171610 
"Lineage of Destruction",2,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN069,29307554 
"Linear Accelerator Cannon",6,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN042,64238008 
"Liquid Beast",2,"Common",M,Unlimited,"Magic Ruler",MRL-023,93108297 
"Little Chimera",2,"Rare",M,Unlimited,"Metal Raiders",MRD-117,68658728 
"Little-Winguard",3,"Common",M,1st Edition,"Dark Crisis",DCR-013,90790253 
"Lizard Soldier",1,"Common",M,Unlimited,"Legacy of Darkness",LOD-038,20831168 
"Lone Wolf",5,"Common",M,Unlimited,"The Lost Millennium",TLM-EN060,82452993 
"Lord of D.",4,"Common",M,Unlimited,"Dark Legends",DLG1-EN087,17985575 
"Lord of the Lamp",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN098,99510761 
"Lord Poison",1,"Common",M,Unlimited,"Invasion of Chaos",IOC-028,40320754 
"Lost Guardian",6,"Common",M,Unlimited,"The Lost Millennium",TLM-EN011,45871897 
"Lucky Chance",5,"Common",M,Unlimited,"Light of Destruction",LODT-EN078,96012004 
"Lucky Cloud",2,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN050,82760689 
"Lucky Pied Piper",1,"Super Rare",M,Unlimited,"Tactical Evolution",TAEV-EN021,68762510 
"Luminous Soldier",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN113,57482479 
"Luminous Spark",12,"Common",M,Unlimited,"Magic Ruler",MRL-100,81777047 
"Luster Dragon #2",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN165,17658803 
"Lycanthrope",4,"Common",M,Unlimited,"Strike of Neos",STON-EN032,84385264 
"M-Warrior #1",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-076,56342351 
"M-Warrior #2",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-077,92731455 
"Machine Duplication",2,"Rare",M,Unlimited,"Rise of Destiny",RDS-EN041,63995093 
"Machine King",3,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN099,46700124 
"Machine King Prototype",11,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN012,89222931 
"Macro Cosmos",10,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN057,30241314 
"Mad Archfiend",2,"Rare",M,1st Edition,"Crossroads of Chaos",CSOC-EN003,94664694 
"Mad Dog of Darkness",2,"Rare",M,Unlimited,"Invasion of Chaos",IOC-057,79182538 
"Mad Lobster",14,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN003,97240270 
"Mad Sword Beast",1,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-091,79870141 
"Mage Power",1,"Rare",M,Unlimited,"Champion Pack 6",CP06-EN011,83746708 
"Magic Drain",8,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-071,59344077 
"Magic Jammer",7,"Common",M,Unlimited,"Retro Pack 1",RP01-EN046,77414722 
"Magic Reflector",1,"Rare",M,Unlimited,"Legacy of Darkness",LOD-087,61844784 
"Magical Explosion",5,"Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN055,32723153 
"Magical Hats",4,"Rare",M,Unlimited,"Dark Beginning 1",DB1-EN087,81210420 
"Magical Labyrinth",5,"Common",M,Unlimited,"Magic Ruler",MRL-059,64389297 
"Magical Marionette",2,"Common",M,Unlimited,"Magician's Force",MFC-069,8034697 
"Magical Merchant",5,"Common",M,Unlimited,"Magician's Force",MFC-079,32362575 
"Magical Plant Mandragola",2,"Common",M,Unlimited,"Magician's Force",MFC-072,7802006 
"Magical Reflect Slime",5,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN028,3918345 
"Magical Scientist",4,"Common",M,Unlimited,"Magician's Force",MFC-073,34206604 
"Magical Thorn",3,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN107,53119267 
"Magician of Faith",3,"Rare",M,Unlimited,"Metal Raiders",MRD-036,31560081 
"Magna-Slash Dragon",6,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN029,72903645 
"Magnet Circle LV2",9,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN038,94940436 
"Magnetic Mosquito",4,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN039,50074522 
"Maha Vailo",11,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN009,93013676 
"Maharaghi",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN175,40695128 
"Maiden of Macabre",1,"Rare",M,1st Edition,"The Duelist Genesis",TDGS-EN084,84055227 
"Maiden of the Aqua",3,"Common",M,Unlimited,"Pharaonic Guardian",PGD-008,17214465 
"Majestic Mech - Goryu",1,"Super Rare",M,Unlimited,"Enemy of Justice",EOJ-EN016,95701283 
"Majestic Mech - Ohka",2,"Rare",M,Unlimited,"Enemy of Justice",EOJ-EN015,69303178 
"Majestic Mech - Senku",12,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN014,32918479 
"Maji-Gire Panda",6,"Common",M,Unlimited,"Flaming Eternity",FET-EN012,60102563 
"Major Riot",9,"Common",M,Unlimited,"Pharaoh's Servant",PSV-029,9074847 
"Maju Garzett",6,"Common",M,Unlimited,"Dark Crisis",DCR-024,8794435 
"Malevolent Nuzzler",3,"Common",M,Unlimited,"Magic Ruler",MRL-005,99597615 
"Malfunction",1,"Rare",M,Unlimited,"Dark Revelation Volume 4",DR04-EN180,6137095 
"Malice Ascendant",7,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN030,14255590 
"Malice Dispersion",7,"Common",M,Unlimited,"Rise of Destiny",RDS-EN048,13626450 
"Malice Doll of Demise",12,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN018,72657739 
"Mammoth Graveyard",4,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-009,40374923 
"Man Beast of Ares",3,"Common",M,1st Edition,"Cyberdark Impact",CDIP-EN030,71395725 
"Man Eater",1,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-075,93553943 
"Man-Eater Bug",11,"Common",M,Unlimited,"Retro Pack 1",RP01-EN014,54652250 
"Man-Thro' Tro'",5,"Common",M,1st Edition,"Ancient Sanctuary",AST-081,43714890 
"Manga Ryu-Ran",16,"Rare",M,Unlimited,"Magic Ruler",MRL-071,38369349 
"Manju of the Ten Thousand Hands",5,"Common",M,Unlimited,"Invasion of Chaos",IOC-088,95492061 
"Marauding Captain",1,"Rare",M,Unlimited,"Dark Beginning 2",DB2-EN138,2460565 
"Marionette Mite",6,"Common",M,Unlimited,"Strike of Neos",STON-EN023,87514539 
"Maryokutai",4,"Common",M,1st Edition,"Labyrinth of Nightmare",LON-076,71466592 
"Masaki the Legendary Swordsman",4,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN110,44287299 
"Mask of Brutality",1,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN223,82432018 
"Mask of Darkness",9,"Rare",M,Unlimited,"Metal Raiders",MRD-014,28933734 
"Mask of Dispel",4,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN220,20765952 
"Mask of Restrict",1,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN221,29549364 
"Mask of the Accursed",2,"Super Rare",M,Unlimited,"Labyrinth of Nightmare",LON-019,56948373 
"Mask of Weakness",1,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-015,57882509 
"Masked Dragon",10,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN026,39191307 
"Masked Sorcerer",5,"Rare",M,1st Edition,"Metal Raiders",MRD-019,10189126 
"Mass Driver",8,"Common",M,Unlimited,"Magician's Force",MFC-088,34906152 
"Mass Hypnosis",3,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN058,21768554 
"Master Kyonshee",2,"Common",M,Unlimited,"Pharaonic Guardian",PGD-053,24530661 
"Master of Oz",6,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN035,27134689 
"Mataza the Zapper",2,"Rare",M,Unlimited,"Invasion of Chaos",IOC-086,22609617 
"Mausoleum of the Emperor",4,"Common",M,Unlimited,"Power of the Duelist",POTD-EN047,80921533 
"Mazera DeVille",2,"Secret Rare",M,Unlimited,"Ancient Sanctuary",AST-111,6133894 
"Mecha Bunny",2,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN027,10110717 
"Mecha-Dog Marron",9,"Common",M,Unlimited,"Flaming Eternity",FET-EN019,94667532 
"Mechanical Hound",20,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN018,22512237 
"Mechanical Snail",3,"Common",M,Unlimited,"Magic Ruler",MRL-021,34442949 
"Mechanicalchaser",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN093,7359741 
"Medium Piece Golem",4,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN007,58843503 
"Medusa Worm",4,"Common",M,Unlimited,"The Lost Millennium",TLM-EN022,2694423 
"Mefist the Infernal General",4,"Rare",M,Unlimited,"Dark Crisis",DCR-066,46820049 
"Mega Thunderball",3,"Common",M,Unlimited,"Metal Raiders",MRD-044,21817254 
"Mega Ton Magical Cannon",3,"Rare",M,Unlimited,"Magician's Force",MFC-094,32062913 
"Megamorph",2,"Rare",M,Unlimited,"Retro Pack 1",RP01-EN061,22046459 
"Megarock Dragon",1,"Super Rare",M,Unlimited,"The Lost Millennium",TLM-EN015,71544954 
"Mei-Kou, Master of Barriers",9,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN025,47731128 
"Melchid the Four-Face Beast",6,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-012,86569121 
"Memory Crusher",5,"Rare",M,Unlimited,"Shadow of Infinity",SOI-EN029,48700891 
"Mermaid Knight",5,"Common",M,Unlimited,"Ancient Sanctuary",AST-025,24435369 
"Messenger of Peace",6,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN065,44656491 
"Metabo Globster",1,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN085,49808196 
"Metal Armored Bug",8,"Common",M,Unlimited,"Ancient Sanctuary",AST-005,65957473 
"Metal Detector",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-022,75646520 
"Metal Dragon",1,"Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-102,9293977 
"Metal Fish",3,"Common",M,Unlimited,"Magic Ruler",MRL-007,55998462 
"Metallizing Parasite - Lunatite",2,"Rare",M,Unlimited,"Dark Crisis",DCR-074,7369217 
"Metalsilver Armor",3,"Common",M,Unlimited,"Magician's Force",MFC-037,33114323 
"Metamorphosis",1,"Common",M,Unlimited,"Pharaonic Guardian",PGD-090,46411259 
"Meteor of Destruction",2,"Rare",M,Unlimited,"Flaming Eternity",FET-EN041,33767325 
"Meteorain",3,"Common",M,Unlimited,"Magician's Force",MFC-044,64274292 
"Michizure",4,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-051,37580756 
"Micro Ray",7,"Common",M,Unlimited,"Ancient Sanctuary",AST-047,18190572 
"Mid Shield Gardna",1,"Rare",M,Unlimited,"The Lost Millennium",TLM-EN024,75487237 
"Mighty Guard",11,"Common",M,Unlimited,"Rise of Destiny",RDS-EN002,62327910 
"Millennium Scorpion",4,"Rare",M,Unlimited,"The Lost Millennium",TLM-EN009,82482194 
"Milus Radiant",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN065,7489323 
"Minar",4,"Common",M,Unlimited,"Magic Ruler",MRL-015,32539892 
"Mind Crush",15,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN056,15800838 
"Mind Haxorz",8,"Common",M,Unlimited,"Rise of Destiny",RDS-EN054,75392615 
"Mind Master",2,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN016,96782886 
"Mind on Air",7,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN027,66690411 
"Mind Over Matter",1,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN073,59718521 
"Mind Protector",1,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN019,85060248 
"Mind Wipe",10,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN039,52817046 
"Mine Golem",4,"Common",M,Unlimited,"The Lost Millennium",TLM-EN018,76321376 
"Minefield Eruption",9,"Common",M,Unlimited,"The Lost Millennium",TLM-EN051,85519211 
"Minor Goblin Official",4,"Common",M,Unlimited,"Pharaoh's Servant",PSV-052,1918087 
"Miracle Dig",7,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-100,6343408 
"Miracle Flipper",7,"Common",M,Unlimited,"Light of Destruction",LODT-EN003,131182 
"Miracle Fusion",2,"Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN039,45906428 
"Miracle Jurassic Egg",7,"Common",M,Unlimited,"Power of the Duelist",POTD-EN021,63259351 
"Miracle Kids",17,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN050,55985014 
"Miracle Restoring",4,"Common",M,Unlimited,"Magician's Force",MFC-100,68334074 
"Miraculous Descent",2,"Rare",M,1st Edition,"Enemy of Justice",EOJ-EN058,80551130 
"Miraculous Rebirth",2,"Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN044,37011715 
"Mirage Dragon",9,"Common",M,1st Edition,"Rise of Destiny",RDS-EN027,15960641 
"Mirage Tube",5,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN049,48017809 
"Mirror Gate",5,"Super Rare",M,1st Edition,"Tactical Evolution",TAEV-EN063,43452193 
"Mirror of Yata",5,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN056,1200843 
"Mirror Wall",4,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN078,22359980 
"Misairuzame",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-111,33178416 
"Misfortune",10,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN037,1036974 
"Mispolymerization",8,"Common",M,Unlimited,"The Lost Millennium",TLM-EN053,58392024 
"Mist Body",5,"Common",M,Limited,"Gold Series 2008",GLD1-EN036,47529357 
"Moai Interceptor Cannons",9,"Common",M,Unlimited,"The Lost Millennium",TLM-EN014,45159319 
"Mobius the Frost Monarch",1,"Super Rare",M,Unlimited,"Soul of the Duelist",SOD-EN022,4929256 
"Moisture Creature",1,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-013,75285069 
"Mokey Mokey",1,"Common",M,1st Edition,"Ancient Sanctuary",AST-057,27288416 
"Mokey Mokey King",9,"Common",M,1st Edition,"Rise of Destiny",RDS-EN036,13803864 
"Mokey Mokey Smackdown",4,"Common",M,Unlimited,"Rise of Destiny",RDS-EN043,1965724 
"Molten Behemoth",1,"Common",M,Unlimited,"Pharaonic Guardian",PGD-001,17192817 
"Molten Destruction",12,"Common",M,Unlimited,"Magic Ruler",MRL-098,19384334 
"Molten Zombie",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-064,4732017 
"Monk Fighter",5,"Common",M,Unlimited,"The Lost Millennium",TLM-EN019,3810071 
"Monster Gate",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-039,43040603 
"Monster Recovery",3,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-066,93108433 
"Monster Reincarnation",1,"Super Rare",M,1st Edition,"Rise of Destiny",RDS-EN045,74848038 
"Morale Boost",2,"Common",M,Unlimited,"Dark Crisis",DCR-042,93671934 
"Morinphen",1,"Common",M,Unlimited,"Metal Raiders",MRD-043,55784832 
"Morphing Jar",1,"Rare",M,Unlimited,"Dark Beginning 2",DB2-EN104,33508719 
"Morphing Jar #2",6,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-040,79106360 
"Morphtransition",4,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN071,92890308 
"Morphtronic Accelerator",2,"Rare",M,Unlimited,"Crossroads of Chaos",CSOC-EN050,44424095 
"Morphtronic Boomboxen",1,"Rare",M,Unlimited,"Crossroads of Chaos",CSOC-EN009,92720564 
"Morphtronic Cameran",3,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN010,28124263 
"Morphtronic Celfon",8,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN006,93542102 
"Morphtronic Clocken",4,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN012,91607976 
"Morphtronic Cord",6,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN051,70423794 
"Morphtronic Engine",5,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN052,7817703 
"Morphtronic Magnen",3,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN007,29947751 
"Morphtronic Monitron",2,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN072,28284902 
"Mother Grizzly",10,"Rare",M,Unlimited,"Magic Ruler",MRL-090,57839750 
"Mr. Volcano",7,"Common",M,Unlimited,"Pharaoh's Servant",PSV-044,31477025 
"Mucus Yolk",4,"Common",M,Unlimited,"Pharaonic Guardian",PGD-011,70307656 
"Muka Muka",4,"Rare",M,Unlimited,"Metal Raiders",MRD-107,46657337 
"Muko",1,"Ultimate Rare",M,Unlimited,"Soul of the Duelist",SOD-EN057,80863132 
"Multiple Piece Golem",1,"Ultra Rare",M,1st Edition,"The Duelist Genesis",TDGS-EN038,71628381 
"Multiplication of Ants",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-098,22493811 
"Mushroom Man #2",4,"Common",M,Unlimited,"Metal Raiders",MRD-114,93900406 
"Musician King",3,"Common",M,Unlimited,"Metal Raiders",MRD-103,56907389 
"Mustering of the Dark Scorpions",2,"Common",M,Unlimited,"Dark Crisis",DCR-093,68191243 
"My Body as a Shield",6,"Common",M,Unlimited,"Magician's Force",MFC-092,69279219 
"Mysterious Guard",5,"Common",M,Unlimited,"Legacy of Darkness",LOD-021,1347977 
"Mystic Horseman",5,"Common",M,1st Edition,"Metal Raiders",MRD-076,68516705 
"Mystic Lamp",2,"Common",M,Unlimited,"Metal Raiders",MRD-028,98049915 
"Mystic Plasma Zone",3,"Common",M,Unlimited,"Magic Ruler",MRL-101,18161786 
"Mystic Probe",2,"Common",M,1st Edition,"Pharaoh's Servant",PSV-021,49251811 
"Mystic Swordsman LV2",1,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN011,47507260 
"Mystic Swordsman LV4",1,"Ultra Rare",M,Unlimited,"Soul of the Duelist",SOD-EN012,74591968 
